,Start Time,Peak Time,End Time,Background Start,Background End
0,2010-11-05 13:05:00,2010-11-05 13:29:00,2010-11-05 14:10:00,2010-11-05 13:06:19,2010-11-05 13:07:30
1,2011-02-14 01:31:00,2011-02-14 01:37:00,2011-02-14 01:48:00,2011-02-14 01:22:09,2011-02-14 01:30:47
2,2012-05-14 13:33:00,2012-05-14 13:38:00,2012-05-14 13:42:00,2012-05-14 13:32:16,2012-05-14 13:33:38
3,2014-01-07 10:07:00,2014-01-07 10:13:00,2014-01-07 10:37:00,2014-01-07 10:00:57,2014-01-07 10:07:36
4,2011-08-09 07:48:00,2011-08-09 08:05:00,2011-08-09 08:08:00,2011-08-09 07:42:49,2011-08-09 07:44:32
5,2013-03-15 05:46:00,2013-03-15 06:58:00,2013-03-15 08:35:00,2013-03-15 05:45:00,2013-03-15 05:46:43
6,2013-05-15 01:25:00,2013-05-15 01:48:00,2013-05-15 01:58:00,2013-05-15 01:08:00,2013-05-15 01:08:40
7,2013-06-21 02:30:00,2013-06-21 03:00:00,2013-06-21 03:43:00,2013-06-21 02:30:44,2013-06-21 02:32:26
8,2013-10-13 00:04:00,2013-10-13 00:08:00,2013-10-13 00:10:00,2013-10-12 23:50:32,2013-10-12 23:52:15
9,2013-10-28 11:32:00,2013-10-28 11:53:00,2013-10-28 12:39:00,2013-10-28 11:19:05,2013-10-28 11:20:48
10,2013-12-20 11:35:00,2013-12-20 11:57:00,2013-12-20 12:07:00,2013-12-20 11:27:42,2013-12-20 11:29:24
11,2013-12-22 11:19:00,2013-12-22 11:26:00,2013-12-22 11:35:00,2013-12-22 11:13:48,2013-12-22 11:15:30
12,2014-02-11 03:22:00,2014-02-11 03:31:00,2014-02-11 03:39:00,2014-02-11 03:04:24,2014-02-11 03:06:07
13,2014-02-14 02:40:00,2014-02-14 02:57:00,2014-02-14 03:10:00,2014-02-14 02:27:01,2014-02-14 02:28:43